작성자,댓글,화수,날짜,좋아요 수,연관 댓글 수
추흔,"여러분  진우 직업에 대해 이상한점을 못느끼셨나요


바로 성진우는 무조건 직업이 그림자 군주가 될수 밖에 없다는점 ㄷㄷㄷㄷㄷ
다시 정주행 하고 나서 알아챘읍니다",나 혼자만 레벨업 후일담 6화(완결),18.07.15,34,2
한송이꽃,스켄들 난 상황에서 성진우에게 연락이 안되면 차해인에게라도 연락을 해야지 성진우에게 연락이 안된다고  가만있음 어쩌자는 건지....,나 혼자만 레벨업 213화,18.04.15,34,댓글 달기
ㅎㅎ,"내용에 의문~ 독백하는 인물 나이가 23살 진우와 6살차이로 29살이고, 게이트가 열린지 9년됐다고 외전 도입부에 나와있으니 20살때 게이트가 열린건데, 어릴 때 놀이공원 게이트 사건 뉴스를 봤다는건 뭐죠~? 20살 어린이인거예요?",나 혼자만 레벨업 외전 1화,18.03.16,34,3
ㅇ..ㅇ,와....여러분....진호회사이름봤어요...?아진이에요!!!!아진!!순간울컥했다ㅠㅠ,나 혼자만 레벨업 후일담 6화(완결),18.03.14,34,댓글 달기
두리뭉살,"직장입니다. 늦은 댓글이지만 댓글들 너무 어이없어 말합니다. 
저렇게 태세변환 빠르면 기업은 살아납니다. 못하면 망하고요. 
그리고 빠르다고 재대로된 사람 못 뽑아요.
또라이 질량보존의법칙은 무시 못하거든요:)
-진지충의 고뇌",나 혼자만 레벨업 44화,18.03.13,34,댓글 달기
금주,....그초반 부산사는힐러언니는.... 빠이염인가..그렇게나 도와주고지켜주고 했는디.. 역시여자는얼굴이이뻐여하는감?..ㅜㅜ 내심힐러언니랑 잘되길 바랫건만..,나 혼자만 레벨업 212화,18.03.09,34,2
북해산금게,추공 신작 언제 오픈 할꺼냐 목 빠지겠다,나 혼자만 레벨업 후일담 4화,18.03.08,34,2
포이즌,"ㅋㅋㅋ 기분 저조할만 했네..ㅋㅋㅋㅋㅋ
백귀 보스까지 영입하는 건 너무 심하다 싶었을까?
어차피 이미 먼치킨인데 뭘 새삼스레..ㅋㅋㅋ",나 혼자만 레벨업 64화,18.03.06,34,댓글 달기
진아,병사들도 놀이기구터고싶어한거ㅋㅋㅋㅋㅋ,나 혼자만 레벨업 212화,18.01.06,34,댓글 달기
바질,이때는 주희와 간호사 둘중에 히로인이 있을줄 알았지... ......,나 혼자만 레벨업 13화,17.12.16,34,12
케이,"'감각공유'
한국 각지로 흩어져 있는 병사들의 신호가 잡혔다.
'많이도 뿌려놨네'
추공은 별생각 없이 그중 하나를 선택했다.
바닥에 물이떨어져 부딪히는 소리가 들려왔다.
우연하게도 200캐시한테 숨겨둔 병사였다.
그러자..
쏴아아-
'비도 안오는데 왠 물소리가?'
그런 의문도 잠시.
스모그에 둘러싸인 새카만 나신이 들어오는 순간 추공의 눈이 번쩍 떠졌다.",나 혼자만 레벨업 153화,17.12.13,34,5
끄으디,저번 여동생때도 그렇고 지금도 그렇고 주인공이 너무 생각없이 평화로울때 할만한 행동들을 하네요,나 혼자만 레벨업 214화,17.12.10,34,댓글 달기
꿈꾸는아저씨!!!,진우가 깨어나지 않으면 천사상에게 헌터스길드 정예 요원들이 몰살을 당하겠네^^,나 혼자만 레벨업 161화,17.11.19,34,4
🌸🌸고냥이로소이다🌸🌸,땅값은 오르는 거야~,나 혼자만 레벨업 41화,17.10.27,34,댓글 달기
냐앙,어디서 헛소릴 하고있어 퍽~!! 공대장 화이팅~ ㅎㅎ,나 혼자만 레벨업 62화,17.10.19,34,댓글 달기
배부른살쾡이,ㅋㅋㅋㅋㅋ탐욕의 구슬이 아니라 파괴의 구슬인데ㅋㅋ능력치가 너무 좋잖아ㅋㅋㅋㅋ,나 혼자만 레벨업 99화,17.10.03,34,댓글 달기
돌멩이,"Tenzo님이 전편에 했었던 대사다...
""성진우 헌터는 한게점이 없습니다.""",나 혼자만 레벨업 131화,17.10.01,34,1
펭?(학살신교_분신),저기요?한국에는 ss급에다 무한 목숨 주인공버프가 있는 사람이 있는데요?,나 혼자만 레벨업 104화,17.09.26,34,2
아름드리,게이트가 흔들리는 닫히는 느낌이 없었으니 마수가 있는 거겠지.. 강한 마수 ...,나 혼자만 레벨업 81화,17.09.24,34,1
은설♥♥,진우의 병사는 한명한명이 A급이랑 막먹는데다 죽지도 않는데 개미는 끝이겠고 진우도 지금 한참S급던전 혼자서 깨고 있지,나 혼자만 레벨업 106화,17.09.17,34,댓글 달기
제갈준호,"추공 작가님 영화나 만화책이나 애니로 내실생각 없으십니까?
드림 사이드 하시는 작가님은 소설내고 만화로 내셨던데^^
작가님 생각은 어떤지 모르지만 불편하셨음 죄송합니다.
영화나 만화 애니로 나오면 더 생동감생길꺼 같아서요
제가 소설은 잘안읽는 사람인데 너무 재미납니다^^",나 혼자만 레벨업 외전 10화,17.09.02,34,댓글 달기
김가,정치한다는 사람들이 조금도 의심하지 않고 의심한다는것에 오히려 눈치를 주는게 난현실감떨어진다생각하는데; 정치한다는 사람들이 저렇게 감정도 못감추고 눈에보이는떡이 미끼인지아닌지도 의심하지않는다니,나 혼자만 레벨업 106화,17.08.22,34,2
재밌는거없나,우진철 멋지다!,나 혼자만 레벨업 206화,17.08.09,34,댓글 달기
D.S,카미쉬가 울부지저따,나 혼자만 레벨업 187화,17.07.25,34,2
군대극혐오빠가지마사랑해,"Q최애소설은??((카카오페이지 에서
A나혼업
Q작가는??
A추공님♡
Q하고싶은 말은??
A사랑합니다 추공님 나혼업 재밋ㄱ게 잘보고 잇어욤 ^^",나 혼자만 레벨업 177화,17.07.25,34,3
민들레차,너무 헌터헌터 개미편 파쿠리인데요... 포식 스킬 설명에서 눈가리고 아웅도 없어 깜짝 놀랐네요;,나 혼자만 레벨업 118화,17.07.17,34,2
_^(한쪽눈을가린미소),"역시! 프로휴재러 추공!

전 잊지않았습니다!

언젠가는 할 줄 알았다구요! 휴재!!

새로 들어온 신입들의 말은 무시하시죠!

프로 불편러 보다
프로 휴재러가 더 좋으니까요!

하하하!!",나 혼자만 레벨업 236화,17.07.15,34,1
..,대화를 해라 대화를..... 토마스 저새낀 상황파악도 안 하고 뭐? 용서? 없던 일? 그건 니가 아니라 진우가 할 말이거든!!,나 혼자만 레벨업 191화,17.07.05,34,댓글 달기
파파마마,음....이건 그냥 그림자 군주가 사기네 처음부터 이런 먼치킨이될 줄 알았다 먼치킨 좋아하시는분은 꼭보셈 먼치킨소설로는 탑인듯,나 혼자만 레벨업 227화,17.06.19,34,1
AG:라미트리,추공:만렙 정해놓은적 없다,나 혼자만 레벨업 131화,17.06.15,34,댓글 달기
비은영,아주 실패하라고 고사를 지내라. 보기드문 청년? 회장님 잘못짚으셨네요.,나 혼자만 레벨업 83화,17.05.31,34,댓글 달기
ㅎㅎㅎㅎ,도데체 이게 왜 지각이지? 원래 올라오는 시간이 10~11시 사인데 왜 10시정각에 몇일올렸다고 안올리니까 지각... 이러지?,나 혼자만 레벨업 201화,17.04.28,34,댓글 달기
연참앙무새,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
또 휴재야 ㅋㅋㅋㅌㅌㅌㅌㅋㅌㅋㅋ
아낰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
나만 웃기냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
이제 화나는거 보다 웃긴다
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
휴재를 한다고 화나는게 아니라
약속 해놓고 안지키고 계속 
말바꾸는게 어이가 없다 못해
웃긴다 이제는 진짜 
아프면 재충전 하고 오던가 왜 말은 해놓고
안지키냐 작가야",나 혼자만 레벨업 195화,17.04.14,34,4
포이즌,"""나가"" 보스몹 이름 ""지마""..
""나가지마""..
이걸 웃어? 말어?ㅋㅋㅋㅋㅋ",나 혼자만 레벨업 149화,17.04.08,34,3
Raku라쿠,그리고 그 가로등 밑에는 그림자 병사 하나가 지켜보고 있었다.,나 혼자만 레벨업 113화,17.03.26,34,1
지그니스,"추공님 다른작가든 솔직히보세요
주연재하기로했음 연재 꼭하시는데
추공님솔직히 작가로써 책임감없네요
다른작가분들 아프다고연제는못한다고하면 미리선공지를하고 지속된휴재안합니다
지속된휴재문제있는거아닙니까?
내가없는말을한것도아니고본인작가시자나요 연재하기로했음지키는게맞는거아닌가요?
여기가본인사업하시는것도아니고요
좀너무하시네요
그리고 작가님알바분들 작작고용하세요",나 혼자만 레벨업 183화,17.03.20,34,7
란음귀마오르막,개미왕 그림자추출을 왜 생략했지...,나 혼자만 레벨업 122화,17.03.16,34,1
베댓의베댓,이 작가는 작심삼일의 표본이 될만하다,나 혼자만 레벨업 183화,17.03.14,34,댓글 달기
이그니스,"추공님

한편을 20초안에 사라지게 하는 마술은

어디서 배워오신 겁니까?

그 리 고 ! !

저희 금요병좀 치료해주세요 ㅠ_ㅠ;

월요일까지 언제 기다립니까",나 혼자만 레벨업 183화,17.03.10,34,2
무명인,아이참...하필이면 준석이내,나 혼자만 레벨업 138화,17.03.01,34,4
조석희,"오늘 2시 군대갑니다 추공작가님 힘내세여
이 글 보셨으면.!!",나 혼자만 레벨업 176화,17.02.27,34,4
ㅇㅇ,250화가완결인데솔직히더연재햇으면좋겟다손,나 혼자만 레벨업 174화,17.02.24,34,13
#추공#납치#감금#연참#성공적,내가 나설시간인가?,나 혼자만 레벨업 172화,17.02.21,34,댓글 달기
계정@1,"수요병....ㄷㄷㄷ
수요병....ㄷㄷㄷ
수요병....ㄷㄷㄷ
수요병....ㄷㄷㄷ
연재안해
연재안해
연재안해
연재안해
젠장...
젠장...
젠장...
젠장...
하이고 하이고
하이고 하이고
하이고 하이고
하이고 하이고
(절망)
(절망)
(절망)
(절망)
한강다이빙
한강다이빙


추공님....저에게 어떻게 이런시련을 주시는 것이옵니까 엉엉 아이고아이고",나 혼자만 레벨업 169화,17.02.14,34,8
볼레루몬,죽어서도 눈을감을 수 어없다...아버지도 네크로맨서군요,나 혼자만 레벨업 74화,17.02.07,34,댓글 달기
??,지각을안해?(동공지진),나 혼자만 레벨업 154화,17.01.13,34,댓글 달기
시라오리,"나혼업 보는법
1. 10시에 들어와 공지에 휴제공지가 있는지 확인한다.
2. 없다면 최신화에 들어와 댓글에 추공님 댓글을 보고 휴제인지 11시인지 확인한다.",나 혼자만 레벨업 151화,17.01.10,34,댓글 달기
유아루,망했어요..!,나 혼자만 레벨업 51화,17.01.10,34,댓글 달기
메구밍사랑해!,매번 생각하는건데 표지느림에서 진우가 들고있는 단검이름이 뭐죠? 처응엔 카사카의 독닌가 했는데아닌것같고.....나이트킬러?바루카(맞나?)의 단도?,나 혼자만 레벨업 80화,17.01.10,34,2
율🌷,씨발 일본새끼들 저 지랄이네,나 혼자만 레벨업 103화,17.01.04,34,댓글 달기
조공,"'지금쯤 납치가 시작됐겠군'
손목의 시계를 바라보던 한 독자의 얼굴에 미소가 어렸다.
[추공의 납치]
직접 가서 군만두를 투척하고 싶었지만 튀기기 스킬이 낮은 터라, 자리를 일급 숙수에게 맞기고 건승을 기원했다.
기다림 끝에 소식이 들려왔다.
-어떻게 됬어?
-그..그게..
일급 숙수의 목소리가 떨리고 있었다.
-추..추공이 김치 군만두가 좋답니다.
-?!",나 혼자만 레벨업 148화,17.01.04,34,2
물자라,셀너 부인 : 내눈을 바라봐 넌 행복해지고 내눈을 바라봐 넌 렙업해지고,나 혼자만 레벨업 130화,17.01.03,34,댓글 달기
벙어리,? 지능은 당연히 마력 아닌가??,나 혼자만 레벨업 24화,16.12.31,34,2
이그니스,문제. 카이셀(비룡)의 날아가는 속도(km)를 구하시오.,나 혼자만 레벨업 141화,16.12.23,34,2
0517,"천외천!

크라우젤

??!?!??!!????",나 혼자만 레벨업 78화,16.10.25,34,3
다프넨,신원을 밝히시지요 s급연참작가 추공,나 혼자만 레벨업 95화,16.10.11,34,댓글 달기
커피(Caffeine),서울역 네트로맨서가 강림할 시간이다. 나와라 군단이여,나 혼자만 레벨업 51화,16.10.04,34,댓글 달기
파라다이스,ㅋㅋㅋ유짐호귀여워,나 혼자만 레벨업 66화,16.08.25,34,1
ㅡㅡ,"와 작가님 다 좋아요 누르시네..
대단... 감사합니다",나 혼자만 레벨업 59화,16.08.14,34,2
누룽지사탕,"전세계적으로 인기 있는 작품인데 여성에 대한 건강하지 못한 성향이 종종 나오는 것이 개인적으로 안타깝네요. 특히 이번편은 미성년자에게까지 성적 표현을 개그코드인것처럼 들이대는 장면에서 더 이상 보고싶은 마음이 사라집니다.
분명 부분적인 수정이 필요해보입니다.",나 혼자만 레벨업 65화,21.12.30,33,4
20210629,중간중간에 작가님이 여캐를 설정하시는 거에 대해서 흐린 눈 하고 봤는데 이번화는 정말 너무 어이가 없네요ㅋㅋㅋ 이걸 가볍게 웃고 넘길 오해 정도로 설정하셨다는게ㅋㅋㅋㅋ 하차합니다..,나 혼자만 레벨업 65화,21.10.10,33,댓글 달기
ㅇㅇ,"이래서 무식한게 무서운거예요
물론 도덕적인 문제도 있지만
여자일 경우 미성년자는 내부생식기가 미성숙해요
어린나이에 성관계를 할경우 자궁경부암의 큰 원인이 됩니다
합의하에 관계한건데 불법아닌데? 이딴소리 지껄이지 마세요
이런 끔찍한 일을 옹호하고 별거아니라고 넘긴다는게 너무나 역겹습니다",나 혼자만 레벨업 65화,21.02.27,33,3
마왕×주인공주식에재산몰빵한사람,아씨 이그리트 생각하니까 개귀엽네 인간말도 못하는데 카이셀이랑 둘이서 손잡고 병원 가서 손짓발짓 다하며 유진호 입원시킨거 아냐ㅋㅋㅋㅋ 졸귀,나 혼자만 레벨업 193화,20.11.07,33,6
이은미,"아... 베르 ㅎㅎ
베르 울때 울컴함 ㅋㅋ
아들이 이 소설 웹툰에 빠졌길래 잔소리 하다가 도대체 뭐 얼마나 재밌냐고 하면서 뺏어 보다가  제가 결제하고 2박3일 정주행 했습니다 ㅜㅠ
개인적으로 해리포터 이후 젤 재밌는 판타지 소설이라고 꼽겠어요~
수고하셨습니다~ 작가님^^",나 혼자만 레벨업 후일담 5화,20.10.29,33,1
뇽뇽뇽,"이거좀 설정 미스같은데...ㄹㅇ루
걱정되서 그림자 교환도 못하는새끼가
일본에서 여자랑 쳐 놀고있냐ㅜㅜㅜ?
설마 이거까지 떡밥인가요? 제발 그렇다고 해줘요ㅜㅜㅜ
아ㅏ..갑분로맨스 에반데 쌉에반데.......아..",나 혼자만 레벨업 213화,20.09.21,33,2
wizone,이분덕에지구 구했네그러고보니까 이분이주희를진우에게붙여서진우가살게됐고진우가살았기에진우가그림자군주가됐으니까,나 혼자만 레벨업 외전 1화,20.04.28,33,4
말랑왕콩떡,뭐야그럼. 니 편에 서겠지만 인간은 죽이겠다 였단건가,나 혼자만 레벨업 175화,20.04.21,33,1
무야호,아니 추출할거 알았으면 카미쉬 보여주기 전에 미국과 계약을 한다던지 안되면 중대한 s급 레이드에는 필탐한다던지 조건을 걸고 갔어야하는거 아닌가 아무리 국가권력급을 포섭하기 위해서라도 말한대로 리스크가 너무 큼 수백명이 죽인 카미쉬를 혼자 갖게되는데 밸붕 ㅋㅋ 나중에 다른 지배자들 맞서기 위한 큰그림으로 봐야하나.. 지구를 지키는 유일한 인류가 될듯 ㅋㅋ,나 혼자만 레벨업 187화,19.11.16,33,4
이이잉,"베르 이그리트 졸귀탱 ㅋㅋㅋㅋㅋ
웹툰에서 사람들이 왜그렇게 베르를 찾았는지 알겠어 ㅋㅋㅋㅋㅋㅋ",나 혼자만 레벨업 228화,19.11.07,33,댓글 달기
삼삼,나중에 고건희 협회장님한테도 드릴 것 같은 예감이....,나 혼자만 레벨업 180화,19.10.11,33,댓글 달기
도르멩,"도대체 한국 나두고 왜자꾸 싸돌아다니는거야?
큰 게이트 나오고 다른 게이트 들이 사라졌으면 큰일일어나는가보다 하면서 계속 한국을 지켜야지..데이트도 한국에서 하면 될것을..",나 혼자만 레벨업 214화,19.09.03,33,댓글 달기
티비브라운삽화주세요제발요간절함,국가권력이 고건희네,나 혼자만 레벨업 197화,19.07.19,33,댓글 달기
새싹,이번화 왤케 개그요소가 많냐 ㅋㅋㅋㅋ,나 혼자만 레벨업 134화,19.04.10,33,댓글 달기
태쥐,"이런류의 소설에서 항상 일본을 비겁한 나라처럼 묘사하고 있지만..
실제로는 더 비겁하고 치사한 놈들이지..ㅋ",나 혼자만 레벨업 104화,19.04.02,33,1
허브,이그리트 귀여움 ㅋㅋㅋ의자는 건방져보일까봐 기둥뒤에 숨음 ㅋㅋㅋ글서 그랬구나 ㅋㅋㅋ,나 혼자만 레벨업 외전 5화,19.02.14,33,댓글 달기
Unidle,잊혀졌다는 것에 상실감이 들어 뭔가 우울하기도 했는데 성진우 헌터님.. 이 한마디에 보상 받은듯한 기분ㅠㅠ,나 혼자만 레벨업 외전 10화,19.01.15,33,댓글 달기
AS,"ㅋㅋㅋ 저거 연애인 A급이란거 밝힐때
주인공 SS급 판정나와서 묻히는거 아니야?ㅋㅋㅋ",나 혼자만 레벨업 79화,19.01.05,33,1
ㅇㅇ,양판소가 다 그렇지만 남주 띄워주려는게 참 애잔..,나 혼자만 레벨업 55화,19.01.04,33,댓글 달기
오여,주희는 재등장하려는 기미도안보이고 지금나와봤자 애매하니깐 남는건 차해인이 그나마 낫지 않나?,나 혼자만 레벨업 146화,18.07.29,33,2
wmxof,"<사람을 찾습니다>
이름 : 강주희
신분 : B급 헌터(힐러)
특징 : 진우가 밥약속을 했지만 아직도 지키지 않음, 시골로 내려간 뒤 사라짐
실종기간 : 너무 오래되서 기억이 잘 나지 않음 그러나 약 10개월으로 추정중

<사람을 찾습니다>
이름 : 니어만(?)
국적 : 독일
특징 : 이름도 잘 기억나지 않을 정도 적은 출현 , 토마스한테 혼남",나 혼자만 레벨업 211화,18.06.14,33,6
한송이꽃,아무래도 진우가 과거로 돌아가기전 깊은 관계를 맺은 사람들은 마음의 허전함을  느끼다가 어떤 특별한 계기가 주어진다면 과거의 기억을 되찾는듯.진우가 세상을 구한 사실을 우진철 한사람이라도 알아주니 좋네용.,나 혼자만 레벨업 외전 10화,18.06.12,33,댓글 달기
FM폐인,아니...고회장님...그런 진동이 오면 차해인헌터 허리(?)부터 걱정하셔야죠. 왜 허허거리세요!,나 혼자만 레벨업 134화,18.03.20,33,4
굿라파엘,"지금까지 제일 아쉬웠던게 진우가 처음부터 지금까지 아무에게도 본인과 주변의 상황을 말한 적이 없다는 것입니다. 본인도 정확히 잘 몰라서..라고 생각이 들긴 하지만 아는 것 만큼 말하면 됩니다. 최소한 몇몇에게라도..
아버지 얘기도 어머니와 동생에게 얘기하지 않을 것처럼 보이네요.
진실은 알려주고 선택을 각자에게 하게 하면 됩니다.",나 혼자만 레벨업 227화,18.03.19,33,댓글 달기
지니지니조지니,회장님도 국권급ㅋㅋㅋㅋㅋㅋㅋㅋ,나 혼자만 레벨업 197화,18.03.16,33,1
영진이,베르와 수호 만남이  필요하다!!!!!!!!,나 혼자만 레벨업 후일담 6화(완결),18.03.13,33,3
꼬기,이잉 나도 베뎃줘잉 나도 베뎃할래잉,나 혼자만 레벨업 후일담 5화,18.03.11,33,6
준준,지금까지 딱히 차해인을 좋아하고있다는 느낌은 없었는데 급작스러운 진전...,나 혼자만 레벨업 212화,18.03.11,33,4
잇츠덴저,지아빠한테 저딴쓰레기왜쓰냐고했어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,나 혼자만 레벨업 후일담 4화,18.03.08,33,댓글 달기
도리♥,"헌터스 →최종인
백호 →백윤호
사신 →임태규
협회 →고건희

사람 점점 늘어나니까 햇갈리네 @.@",나 혼자만 레벨업 80화,18.03.08,33,2
o하얀키위새,"24쪽 [진우는 두 군단장에게 멀찍히 떨어졌다. 옆에는 이그리트가 다가왔다.]
이그리트: 후후후 아둔한 것들 너희들이 서로 쌈박질 하는 동안 나는 주군 곁을 차지했다! (계획대로)",나 혼자만 레벨업 228화,18.02.22,33,댓글 달기
한송이꽃,일본 게이트 터지기 전에 진우 아버지가 숨어서 무슨말을 했던것 같던데  혹시나 진우의 아버지도 지배자나 군주 중 한명 아닐까요?앞으로 지배자와 군주 VS 진우의 싸움이 재밌겠네요...,나 혼자만 레벨업 175화,18.01.25,33,댓글 달기
落花,그냥 전대 그림자 병사들은 벨리온이 이끌고 지금 그림자 병사들은 베르가 이끌면 안되나?,나 혼자만 레벨업 227화,17.12.29,33,2
ㅎㅗㅇ,이그리트랑 병사들도 놀이기구 타고 싶었구나 귀여워!,나 혼자만 레벨업 212화,17.12.20,33,댓글 달기
난니를안다,유진호같은 동생있으면 진짜 귀여울듯 ㅋㅋㅋㅋㅋ,나 혼자만 레벨업 128화,17.12.12,33,댓글 달기
리안,"주량은 한 액체를 마실수있는 한계까지 정도?ㅋㅋㅋㅋㅋㅋㅋ
3초면 해독완료ㅎ.< 그러면 온 우주를 담을수있으려나 ㅋㅋㅋㅋ",나 혼자만 레벨업 79화,17.12.08,33,2
티크,벨리온은 베르랑 이그리트 성격의 중간 정도인걸까..! 일을 잘 하면서도 시키지 않은 일도 잘햌ㅋㅋㅋㅋㅋㅋㅋ,나 혼자만 레벨업 232화,17.12.06,33,댓글 달기
ZI존,게임을 리셋하기 전에 얻은 정보로 빠르게 공략하는 주인공,나 혼자만 레벨업 외전 3화,17.11.25,33,2
유선호,주인공 진짜 나라 망해가는데 지 혼자 유유히 밥먹으러 가고 뒤늦게 나타나서 구하면 다냐 씨ㅣ이벌 피해자 다 속출해놓고 뒤늦게 놀다가 나타나면 다냐!!!!!,나 혼자만 레벨업 214화,17.11.22,33,댓글 달기
ㄱㄱ44,중간에 놀이공원에서 게이트에 갇힌 헌터는 성일환을 말하는건가?,나 혼자만 레벨업 외전 1화,17.10.10,33,1
폴.,추공님 해인한테 기억 되돌려 줬나요?,나 혼자만 레벨업 외전 21화(완결),17.10.06,33,9
고냥이,그래.. 백색성채. 진우가 잠시 머물 작은 숙소. 그래... 그래. 이해해줄게.. 하아..... 그래도 너 전세계 건축가한테 미안해해라,나 혼자만 레벨업 235화,17.10.06,33,댓글 달기
주저리,그동안 못챙기고 떠난 캐릭터들에게 애정표현이시네 작가님.,나 혼자만 레벨업 외전 5화,17.10.01,33,댓글 달기
아웅이,"먼후일
         김소월
먼 훗날 당신이 찾으시면
그때에 내말이 ""잊었노라""

당신이 속으로 나무라면
무척 그리다가 ""잊었노라""

그래도 당신이 나무라면
믿기지 않아서 ""잊었노라""

오늘도 내일도 아니잊고
먼훗날 그때에 ""잊었노라""


-우리들은 아직 나혼업을 잊지못하였고 그 후에도 잊지 못할 것 이다.-",나 혼자만 레벨업 외전 18화,17.09.26,33,2
고든램지,근데 작가님 그 거인왕 나올때 거인군주나 몬스터들한테 마석박아넣고 인간들 죽이라는 세뇌거는게 다 지배자들로 나오는데 갑자기 지배자들이 인간편으로 나오네요? 원래는 그냥 지들끼리 싸우고 지구가 전장이 되던말던 신경 안 쓴다지 않았나요? 뭘 놓쳤나?,나 혼자만 레벨업 202화,17.09.16,33,9
케일교럽티카에어리수플레노을일몽,저번에 진우 엄마 살린 그... 뭐였더라? 암튼 그거 먹이는거 아님?,나 혼자만 레벨업 121화,17.09.08,33,20
순수미,주인공은 왜 남의 길드사냥터를 탐하는지,나 혼자만 레벨업 83화,17.08.28,33,댓글 달기
JIYOEN!,"작가님 소설은 항상 사이다를 넣어두시지만, 그렇다고 절때 뻔한 소설이 아니라서 좋네요. 애덤 ㅠ ㅠ 잘가 안녕",나 혼자만 레벨업 236화,17.08.16,33,댓글 달기
?!,아 그래서 딴책보면 마족들이 이름 처음에 잘못 붙여서 서로 불멸의 XXX 죽음의 XXX 이런 중2병이름 달고다니는거?,나 혼자만 레벨업 53화,17.08.14,33,댓글 달기
멀린,주량:무한 ㅋㅋㅋ,나 혼자만 레벨업 79화,17.07.30,33,1
skystar514,베댓 부럽당...ㅋㅋ;;;(난 언제해보나 ㅋㅋㅋ),나 혼자만 레벨업 240화,17.07.21,33,5
리자몽,용대가리로 생각이 없네 파충류라 그런가,나 혼자만 레벨업 240화,17.07.21,33,1
사신,"우진철:성 헌터님....  혹시 속보 들으셨습니까?
진우:무슨 속보죠?
우진철:일본 숲이 갑자기 사라지면서 사상자가....
진우:뜨끔",나 혼자만 레벨업 229화,17.06.24,33,댓글 달기
암군,저거 근데 모르는사람이 보면 성진우가 최종보스같겠네ㅋㅋㅋㅋㅋ,나 혼자만 레벨업 226화,17.06.17,33,댓글 달기
비화,독자들이 생각하는 최악의 시나리오:휴재입니다. 안녕히계세요.-파피루스-,나 혼자만 레벨업 224화,17.06.15,33,댓글 달기
명워리💜,"스치듯 안녕~""하는 엑스트라가 아니였나벼..ㅋ
엑스트라 원.투로 나오더니, 이름도 생기더니 이젠 유진호 옆으로 등장하다니ㅋㅋ",나 혼자만 레벨업 70화,17.06.14,33,댓글 달기
세이라키아,성진우 하.. 검은심장이 뭔지 기억은 안나지만 개멋지다,나 혼자만 레벨업 217화,17.05.29,33,5
서세현,그림자이동으로 서울 와야되는데 이번화에 그림자이동 쓴거 때문에 못오니까 스토리 막혔다가 수정하시고 다시 쓰고계신듯,나 혼자만 레벨업 213화,17.05.22,33,댓글 달기
오우YES~,"'이..... 이럴 수가?'
두근, 두근, 두근!
결국 회장님은 자기 딸을 사랑하게 되는데..",나 혼자만 레벨업 180화,17.05.22,33,3
밤길조심해라,추공을  그림자추출하면 무한 연참이 되지않을까?,나 혼자만 레벨업 172화,17.05.13,33,댓글 달기
돌이,소설제목바꿔라 나 혼자 휴재중,나 혼자만 레벨업 195화,17.04.14,33,3
£~,"머 건강악화요?어디서 생구라를
연재도 못 할 형편인데 댓글 일일이 확인에다 새벽녘에는 내가 기껏 작가글에 댓글로 장문의 조언 쓰던 와중에 그 글까지 지우던 양반이 이 개소릴 믿으라구요?!
오늘로써 그나마 이해하고 있던 믿음마저 산산히 박살나네
괘씸해서 당신글 더는 못 봐주겠다
프로는 개뿔 인간으로써 기본적인 소양이나 가지고 글 쓰소
카페 작가관리 개판이네",나 혼자만 레벨업 195화,17.04.14,33,7
민동,"이제 시작하시는분들 완결나고 시작하세요.
시도때도없는휴재 독자와의 약속을 길가에 돌맹이취급합니다.
재미는있어요. 근데 하도 휴재를해서 내용을 잊어먹기 일쑤입니다. 차라리 완결나고 보기시작하는게 이득입니다.",나 혼자만 레벨업 0화,17.04.11,33,2
오라이,독자들이 욕하는 이유는 다른게 아닙니다 컨디션 난조와 건간상의 이유로 약 7일 정도의 휴재기간을 가졌고 이후에 몇차례 더 휴재.. 작가님이 먼저 월~금 연재를 약속했습니다 약속은 바라지도 않았습니다만 그 긴 휴재기간동안 진짜 한 화도 집필하지 않은( 솔까 천천히 비축분을 만들지 않을까 했는데) 것운 계속된 휴재에 더하여 독자들이 폭발한거죠.,나 혼자만 레벨업 190화,17.04.05,33,댓글 달기
으아니~이런일이?,"악마족 히로인 등장인건가 라고 생각했는데 
별로 외모 묘사가 없는것이
히로인이 아닌가보다",나 혼자만 레벨업 101화,17.03.31,33,1
..,"이따가 한편 더 올라오는거 맞져? 카카오가 안 올리는거 맞죠?
작가님은 나머지 편 보내셨죠?
그렇게 믿을꺼에요...",나 혼자만 레벨업 184화,17.03.20,33,댓글 달기
권태,사건을 연결시키는게 너무 억지스럽다,나 혼자만 레벨업 85화,17.03.16,33,댓글 달기
추겅,"음..내일이목요일이네..
역시다시추공님을닙치해야겠어
나혼렙을보는사람들이여나에게힘을!!!",나 혼자만 레벨업 182화,17.03.08,33,2
베리,게임에 '게'자도 모르는 작가들이 게임판타지가 유행이라고 그냥 막 써대니 이런문제가 생기는거...1렙 몬스터 몇마리 잡앗다고 짐승형 40프로?ㅋㅋㅋ웃음밖에 안나오네,나 혼자만 레벨업 14화,17.03.04,33,6
