번호,작성자,작성일,댓글,회차,좋아요,대댓글수
1735,구미호,25.05.06,,절륜환관 54화,좋아요,댓글 달기
1736,구미호,25.05.06,,절륜환관 53화,좋아요,댓글 달기
1737,푸른별,25.05.06,"소설의 시대적 배경은 명나라인데, 등장하는 이호라는 현악기는 청나라 중기에 만들어졌지요.
이걸 알고 앞시대에서 사용한 것인지?",절륜환관 112화,좋아요,댓글 달기
1738,구미호,25.05.06,,절륜환관 52화,좋아요,댓글 달기
1739,구미호,25.05.06,,절륜환관 51화,좋아요,댓글 달기
1740,구미호,25.05.06,,절륜환관 50화,좋아요,댓글 달기
1741,구미호,25.05.06,,절륜환관 49화,좋아요,댓글 달기
1742,구미호,25.05.06,,절륜환관 48화,좋아요,댓글 달기
1743,구미호,25.05.05,,절륜환관 47화,좋아요,댓글 달기
1744,권혁재,25.05.05,46화 까지 읽고 느낀점은 동방불패 & 녹정기 짬뽕한 느낌! 그래도 김용 작가의 대표작을 석어서 그런지 볼만함,절륜환관 1화,좋아요,댓글 달기
1745,구미호,25.05.05,,절륜환관 46화,좋아요,댓글 달기
1746,구미호,25.05.05,,절륜환관 45화,좋아요,댓글 달기
1747,구미호,25.05.05,,절륜환관 44화,좋아요,댓글 달기
1748,구미호,25.05.05,,절륜환관 43화,좋아요,댓글 달기
1749,구미호,25.05.05,,절륜환관 42화,좋아요,댓글 달기
1750,구미호,25.05.05,,절륜환관 41화,좋아요,댓글 달기
1751,구미호,25.05.05,,절륜환관 40화,좋아요,댓글 달기
1752,구미호,25.05.05,,절륜환관 39화,좋아요,댓글 달기
1753,유당,25.05.05,어쩔수 없는 괴이함은 도망자에게 주는 공포감?,절륜환관 69화,좋아요,1
1754,전정철,25.05.05,"보면 볼수록 잘쓰시네
감동도 먹고
무협소설이 아님 감성소설임",절륜환관 113화,좋아요,댓글 달기
1755,K준태,25.05.05,굳이 이렇게해야 할까 하는,절륜환관 240화,좋아요,댓글 달기
1756,K준태,25.05.05,좀 억지느낌...,절륜환관 240화,좋아요,댓글 달기
1757,yyang,25.05.05,,절륜환관 123화,좋아요,댓글 달기
1758,두꺼비,25.05.04,"주인공 : 불만에 떨지 말고,현피하여 광명찾자!",절륜환관 81화,좋아요,댓글 달기
1759,K준태,25.05.04,저거 규화보전 주문좀 안하면 안되나 마법사야? 꼭주문이 필요한가,절륜환관 203화,좋아요,댓글 달기
1760,깃거,25.05.04,"다른 플랫폼에서 읽을 적에도 생각했던 거지만
초반부는 진짜 역대 무림 소설 다 합쳐도
탑티어에 놓을만큼 재밌음 ㅎㅎ",절륜환관 39화,좋아요,댓글 달기
1761,황후sy,25.05.04,ㅋㅋㅋㅋ 놈들의 머리를 잡아네용 ㅋㅋ,절륜환관 117화,좋아요,댓글 달기
1762,구미호,25.05.04,,절륜환관 38화,좋아요,댓글 달기
1763,구미호,25.05.04,,절륜환관 37화,좋아요,댓글 달기
1764,유종원(사냥꾼),25.05.04,ㅋㅋㅋ 다 쥑일뻔 ㅎㅎㅎㅎㅎ,절륜환관 180화,좋아요,댓글 달기
1765,구미호,25.05.03,,절륜환관 36화,좋아요,댓글 달기
1766,구미호,25.05.03,,절륜환관 35화,좋아요,댓글 달기
1767,구미호,25.05.03,,절륜환관 34화,좋아요,댓글 달기
1768,구미호,25.05.03,,절륜환관 33화,좋아요,댓글 달기
1769,구미호,25.05.03,,절륜환관 32화,좋아요,댓글 달기
1770,구미호,25.05.03,,절륜환관 31화,좋아요,댓글 달기
1771,구미호,25.05.03,,절륜환관 30화,좋아요,댓글 달기
1772,구미호,25.05.03,,절륜환관 29화,좋아요,댓글 달기
1773,잘살어라,25.05.03,이래서 왕들이 일찍 죽었나봐~~,절륜환관 121화,좋아요,댓글 달기
1774,구미호,25.05.03,,절륜환관 28화,좋아요,댓글 달기
1775,구미호,25.05.03,,절륜환관 27화,좋아요,댓글 달기
1776,구미호,25.05.03,,절륜환관 26화,좋아요,댓글 달기
1777,시나브로,25.05.03,조표..양홍..까지 나왔으면 3대허접인 왕루는 언제쯤 나올지 찾고 있는 중입니다,절륜환관 88화,좋아요,댓글 달기
1778,구미호,25.05.03,,절륜환관 25화,좋아요,댓글 달기
1779,구미호,25.05.03,,절륜환관 24화,좋아요,댓글 달기
1780,yyang,25.05.03,지독하다,절륜환관 93화,좋아요,댓글 달기
1781,쩝쩝석사_쩝쩝박사과정,25.05.02,왜 계속 고자 코러스하냐고ㅠㅠㅠㅠㅠㅠ,절륜환관 96화,좋아요,댓글 달기
1782,구미호,25.05.02,,절륜환관 23화,좋아요,댓글 달기
1783,구미호,25.05.02,,절륜환관 22화,좋아요,댓글 달기
1784,깃거,25.05.02,"규화보전을 대성하기 위해서는
지읒을 자르고 익히는게 아니라
지읒 빠지게 연마해야 한다던가?",절륜환관 2화,좋아요,댓글 달기
1785,구미호,25.05.02,,절륜환관 21화,좋아요,댓글 달기
1786,구미호,25.05.02,,절륜환관 20화,좋아요,댓글 달기
1787,구미호,25.05.02,,절륜환관 19화,좋아요,댓글 달기
1788,구미호,25.05.02,,절륜환관 18화,좋아요,댓글 달기
1789,구미호,25.05.02,,절륜환관 17화,좋아요,댓글 달기
1790,서홍석,25.05.02,아 뭐시냐 댓글들이 곧 자를기세다 그런분 없지요?,절륜환관 48화,좋아요,댓글 달기
1791,aquapage04,25.05.02,제목값 하네,절륜환관 335화,좋아요,댓글 달기
1792,구미호,25.05.01,,절륜환관 16화,좋아요,댓글 달기
1793,구미호,25.05.01,,절륜환관 15화,좋아요,1
1794,구미호,25.05.01,,절륜환관 14화,좋아요,댓글 달기
1795,구미호,25.05.01,,절륜환관 13화,좋아요,댓글 달기
1796,구미호,25.05.01,,절륜환관 12화,좋아요,댓글 달기
1797,구미호,25.05.01,,절륜환관 11화,좋아요,댓글 달기
1798,구미호,25.05.01,,절륜환관 10화,좋아요,댓글 달기
1799,구미호,25.05.01,,절륜환관 8화,좋아요,댓글 달기
1800,구미호,25.05.01,,절륜환관 7화,좋아요,댓글 달기
1801,구미호,25.05.01,,절륜환관 6화,좋아요,댓글 달기
1802,구미호,25.05.01,,절륜환관 5화,좋아요,댓글 달기
1803,구미호,25.05.01,,절륜환관 4화,좋아요,댓글 달기
1804,구미호,25.05.01,,절륜환관 3화,좋아요,댓글 달기
1805,구미호,25.05.01,,절륜환관 2화,좋아요,댓글 달기
1806,왕가의문장,25.05.01,멀리 안나간다 잘가렴,절륜환관 93화,좋아요,댓글 달기
1807,Gmail,25.05.01,"대단한 한수입니다
어떻게 이런 구상이 가능한지 정말 놀랍습니다 !",절륜환관 148화,좋아요,댓글 달기
1808,푸른별,25.04.30,환관을 너무 폄하하는 표현이 많네요,절륜환관 33화,좋아요,1
1809,루제노,25.04.30,"동방규화도 mi친 ㄴㅕㄴ이네.
불살계를 지키겠다고 살려줘서 수천, 수만..아니, 헤아릴 수 없는 사람들을 죽음과 고통속에 빠트리다니..
이룐은 광마보다 더 ♪~♩♩ mi친 ㄴㅕㄴ이네.",절륜환관 380화,좋아요,댓글 달기
1810,루제노,25.04.29,"화산, 당가, 사도부련주..등등 문제는 언제 해결하는데?
첨에 재미있더만 이 작가도 결국 회차늘이기 절대신공을 배웠군.ㅡㅡ",절륜환관 331화,좋아요,댓글 달기
1811,루제노,25.04.29,"황영.. 역시 사도, C足년이군.
정도라면 체면상이라도 일단 나서고 봤을텐데..
여기 저기 살 수 있는 생명들이 죽는 걸
수하 마음 하나 확인하다가 나타나서 하는 말이 제세구민?
별 멍♩♩~♬ 같은 소리하네.",절륜환관 315화,좋아요,댓글 달기
1812,전정철,25.04.29,"오와 ♪♬♪이게 모야
고자가 왜이래?
눈물나네 크하하핫
웃으며 운다",절륜환관 75화,좋아요,댓글 달기
1813,전정철,25.04.29,"영웅들이네
고추만 달렸어도,,,
쯧쯔,,,,",절륜환관 67화,좋아요,댓글 달기
1814,솜사탕,25.04.29,동방불패.임청하,절륜환관 113화,좋아요,댓글 달기
1815,전정철,25.04.29,"네이년!!!
ㅋㅋ",절륜환관 66화,좋아요,댓글 달기
1816,002,25.04.29,어떤신공도...  대물신공은 봉인 불가군 ㅋㅋ,절륜환관 172화,좋아요,댓글 달기
1817,마루,25.04.29,첫 작품인가...유치하고 맥락도 없고 그냥 뜬금없이 문제들을 해결하고 그 뒤에 이런일이 있었다 라는 식의 설명 들어가고 아주....수준 이하네,절륜환관 9화,좋아요,댓글 달기
1818,시라노,25.04.29,"검사동일체도 아니고 환관동일채를 여기다가 붙이네요 ㅋㅋ
환관동일체는 군주랑 환관이랑 동일하다 즉 고자들이 나랏일에 왈가왈부한다로 아는데 ㅋㅋ",절륜환관 32화,좋아요,댓글 달기
1819,두꺼비,25.04.28,집안 기둥 몇 개가 뽑히는 거여..?,절륜환관 39화,좋아요,댓글 달기
1820,두꺼비,25.04.28,"지금으로 치면,
- 문파는 각 지역의 체육대학
- 화경은 국가대표로 당장 출전할만한 실력자
- 절정 후입은 국가대표 상비군으로 뽑힐만한 실력자인 듯.",절륜환관 34화,좋아요,댓글 달기
1821,혜모수,25.04.28,"오~
설명 감사",절륜환관 25화,좋아요,댓글 달기
1822,두꺼비,25.04.28,"주인공 양반, 참 박력이 넘치네 :-)",절륜환관 30화,좋아요,댓글 달기
1823,家和萬事成JP,25.04.27,미쳤다,절륜환관 157화,좋아요,댓글 달기
1824,유자왕,25.04.27,,절륜환관 109화,좋아요,댓글 달기
1825,킹콩도콩,25.04.27,,절륜환관 71화,좋아요,댓글 달기
1826,구미호,25.04.27,,절륜환관 1화,좋아요,댓글 달기
1827,솜사탕,25.04.27,책으로나오면좋을텨,절륜환관 102화,좋아요,댓글 달기
1828,김은우,25.04.26,,절륜환관 1화,좋아요,댓글 달기
1829,수민도맘,25.04.26,지금은 아닌데… 아직 정신이 안 돌아왔네…ㅠㅠ,절륜환관 4화,좋아요,댓글 달기
1830,🔥타는돌,25.04.25,짜를까?,절륜환관 75화,좋아요,댓글 달기
1831,김동글,25.04.25,음... 그럼 굳이 안잘라도 잘린거나 마찬가지인 효과를 보려나,절륜환관 2화,좋아요,댓글 달기
1832,솜사탕,25.04.25,작가가 잘쓰네,절륜환관 95화,좋아요,댓글 달기
1833,아파라,25.04.25,"아... 이러다 애들 장례희망이 고자면 어칼라 그러지?
작가?",절륜환관 75화,좋아요,댓글 달기
1834,Pass💥ion,25.04.25,걸린거 ??? ㅋㅋ,절륜환관 26화,좋아요,댓글 달기
1835,잘살어라,25.04.25,고자 고자 고자 고자 고자 ~계속 고자가 머릿속에서 떠나지 않는다~~🤣,절륜환관 41화,좋아요,댓글 달기
1836,..,25.04.25,"하지만 지금은 아무것도 없는 백수죠?
정 2품이 아니라 너의 거기를 꿇려야 하죠?",절륜환관 4화,좋아요,댓글 달기
1837,혼술남625,25.04.25,...✨️❤️🖤💙🤍💛✨️.....💖랑해.,절륜환관 12화,좋아요,댓글 달기
1838,닉네임,25.04.25,"7성에 도달해도 일류거나 잘하면 절정초입이라더니 5성에 벌써 절정초입에 오기조원.
이것 외에도 몇가지 설정이 일관 되지 못하니 읽기가 거북해집니다.
맞춰서 고쳐주시면 더 재미날듯 합니다.",절륜환관 13화,좋아요,댓글 달기
1839,Pass💥ion,25.04.25,꿀잼각,절륜환관 7화,좋아요,댓글 달기
1840,혼술남625,25.04.25,...오늘은 酒(술주)성대법으로 🍶🍾🍷🍸🍹🍺🥂🥃.....모든 술들을 내뭄속으로~~~,절륜환관 7화,좋아요,댓글 달기
1841,혼술남625,25.04.24,...너희들 좀 맞아야쓰건네~~~,절륜환관 5화,좋아요,댓글 달기
1842,검지,25.04.24,,절륜환관 394화,좋아요,댓글 달기
1843,ㅋㅋ,25.04.24,ㅋㅋ,절륜환관 392화,좋아요,댓글 달기
1844,ㅇㅅㅇ?!,25.04.24,진짜 작가님 전생에 환관 이었을수도?디테일이 삶의 검증이 필요한데,절륜환관 64화,좋아요,댓글 달기
1845,레지스던트,25.04.08,애는 외쳐먹었나,절륜환관 183화,좋아요,댓글 달기
1846,등대지기,25.03.11,주저리 주저리 참 ᆢ,절륜환관 343화,좋아요,댓글 달기
1847,등대지기,25.03.10,글이 이상한데 그 치밀하던 장진명이가 장문인 살려둔다고 ? 비밀 다 알고있는 장문인을?,절륜환관 329화,좋아요,댓글 달기
1848,권민,25.02.16,이건 심했다,절륜환관 163화,좋아요,댓글 달기
1849,꽃피는봄,25.02.13,이거이거..,절륜환관 44화,좋아요,댓글 달기
1850,등대지기,25.02.12,아ㆍ진짜 뭔 이런 xx가있냐 ᆢㅋㅋㅋ,절륜환관 314화,좋아요,댓글 달기
1851,알데바란,25.02.02,주성치가 생각나네 그린으로 정기를 만든 그것인가~~,절륜환관 68화,좋아요,댓글 달기
1852,바다처럼,25.01.25,"캬~~ 스케일이 조금씩 커지고 있군.
기대됩니다",절륜환관 62화,좋아요,댓글 달기
1853,흑귀,24.09.30,구원이라 후기작 예고인가,절륜환관 394화,좋아요,댓글 달기
1854,짱구,24.09.11,내가 고자라니 ~~~~~~,절륜환관 366화,좋아요,댓글 달기
1855,피닉스,24.05.05,전율이 ㄷㄷㄷ,절륜환관 123화,좋아요,댓글 달기
1856,피닉스,24.04.21,와. 읽으면서 머리가쭈삣,절륜환관 75화,좋아요,댓글 달기
1857,JSH,24.03.04,"강환과 풍압이라, 드래곤볼?",절륜환관 278화,좋아요,댓글 달기
1858,JSH,24.03.03,제기랄.. 독파 어쩌구 나올려고 이리 질질 끌다니..,절륜환관 261화,좋아요,댓글 달기
1859,JSH,24.03.03,꼭 이렇게 거창해야 하는지. 넘 계속해서 반복하니 지겹다. 그냥 검시하면서 누락 어쩌고 할때 끝냈음 적당했늘텐데..,절륜환관 260화,좋아요,댓글 달기
1860,JSH,24.03.03,오.. 이 부분 놀랍군요. 몇회 전부터 설계된거군요.,절륜환관 252화,좋아요,댓글 달기
1861,JSH,24.03.03,적당히가 없네 없어...,절륜환관 250화,좋아요,댓글 달기
1862,JSH,24.03.03,진행이 넘 세부적이고 지루하다 느낄수도 있지만. . 관리는 반드시 이렇게 해야 하는 까닭에 얼떨떨하다. 작가가 공무원 고위직 출신인건가요?,절륜환관 243화,좋아요,댓글 달기
1863,JSH,24.03.03,그래 권력을 얻었음 써야지 써 ...,절륜환관 242화,좋아요,댓글 달기
1864,JSH,24.03.02,억지스럽지만 읽다 보면 속이 시원하니 이게 카타르시스인거지. . 다만 넘 실 역사의 고증이 철저하다 보니 쥔공 꼴리는대로 막 하는것에 어색함도 많이 느껴지네요,절륜환관 240화,좋아요,댓글 달기
1865,JSH,24.03.02,내참. . 이거 중국작품 번안한건가요? 비구니가 사저의 남편을 형부라고 부르는건 너무 나갔네요. 시주라든다 거사 등등이 맞을듯,절륜환관 239화,좋아요,댓글 달기
1866,무뇌충,24.03.01,뭐여? 혼자 한방에 끝냈다고? 고럼 전편의 그 설레발들은 뭐임?,절륜환관 231화,좋아요,댓글 달기
1867,무뇌충,24.03.01,작가님의 치매신공이 또 발휘되기 시작했나보다. 구미호 진명이 함정에 빠진것부터 대낮에 살수들이 만든 진이 무슨 소림 108나한진이나 되는듯 설정하는거며..,절륜환관 230화,좋아요,댓글 달기
1868,무뇌충,24.02.26,환골탈태 하면 하물은 재생 되지만 경지가 지고해져서 정욕이 없어지지 않을까나?,절륜환관 177화,좋아요,댓글 달기
1869,무뇌충,24.02.17,누가 악이고 누가 선인지.. 쥔공 포함 그냥 다 인성 없는 싸이코패스들인듯..,절륜환관 162화,좋아요,댓글 달기
1870,무뇌충,24.02.06,누가 악이고 누가 선인지? 이겨서 살아 남는게 장땡인가벼요,절륜환관 86화,좋아요,댓글 달기
1871,무뇌충,24.02.06,그렇다면 그 당시 웬만한 지방관의 목은 다 잘라야 할텐데...,절륜환관 84화,좋아요,댓글 달기
1872,무뇌충,24.02.06,지독할만큼 여린 사람들이라니... 그건 아무리 소설이라도 공감하기 어렵군요.,절륜환관 78화,좋아요,댓글 달기
1873,무뇌충,24.02.06,"작가분이 중국무협영화를 쓸데 없이 너무 많이 보고 심취 하셨나 보네요. 읽는 입장에선 긴박한 순간의 뜽금포같은 노래나, 구호 제창 등이 영 거슬리고 황당합니다. 뭐 재미난 다른 부분이 있어 계속 보긴 합니다만도..",절륜환관 68화,좋아요,댓글 달기
1874,무뇌충,24.02.04,어떻게 대답 하라는 건지? 공력이 없으면 전음입밀이 안 되지 않나요?,절륜환관 29화,좋아요,댓글 달기
1875,이현기,23.10.05,명필 이로세,절륜환관 78화,좋아요,댓글 달기
1876,56성공학원장,23.08.18,몇년 걸린것 같네요.잘 봤습니다.독특한 전개에 감사합니다.,절륜환관 394화,좋아요,댓글 달기
1877,홍희란,23.06.11,"특이한 필체.....
처음보는 이름....",절륜환관 344화,좋아요,댓글 달기
1878,56성공학원장,23.06.06,"사는게 고통의 연속이라고...
양물을 잘리고도 살아날 확률이 고작 삼할이라니....
그래서 옛날 세존께서 말씀하셨지.
인생은 고해라고....",절륜환관 285화,좋아요,댓글 달기
1879,연록흔好,23.05.07,아군은 언제오냐!,절륜환관 387화,좋아요,댓글 달기
1880,연록흔好,23.05.07,진짜 저렇게 싸웠을것같은 현실감,절륜환관 386화,좋아요,댓글 달기
1881,연록흔好,23.05.07,,절륜환관 381화,좋아요,댓글 달기
1882,연록흔好,23.04.22,ㅋㅋㅋ 제가한말이아니고 그여자가그랬다는데요,절륜환관 376화,좋아요,댓글 달기
1883,연록흔好,23.04.22,그럼 여자가 선택하기도 쉽지않은그걸 해냄니다,절륜환관 375화,좋아요,댓글 달기
1884,연록흔好,23.04.22,"오홋
사정이 그러하였군",절륜환관 374화,좋아요,댓글 달기
1885,연록흔好,23.04.22,아주 딱딱ㅡ줄이 맞네ㅋㅋ,절륜환관 373화,좋아요,댓글 달기
1886,연록흔好,23.04.22,,절륜환관 371화,좋아요,댓글 달기
1887,연록흔好,23.04.17,짐승?동물들은 무슨죄야?,절륜환관 347화,좋아요,댓글 달기
1888,현ㅇㅅㅇ,23.02.26,"취정환 약기가 그렇게 쉽게 날아가는거였음?
그럼 사도이사가 먹이고 안심한다는게 말이 안 맞지",절륜환관 13화,좋아요,댓글 달기
1889,기다리면늙어죽는다,23.02.16,두달전.後에.현재. ac8 다초점 렌즈여!정신 사납네!,절륜환관 40화,좋아요,댓글 달기
1890,네메시스,23.01.11,경공으로는 규화보전이 최강인데..그걸 모르네 ㅋㅋ,절륜환관 265화,좋아요,댓글 달기
1891,토토로,22.12.08,우리 쥔공 시점이 점점 줄어들어서 그런가 몰입이 안되기 시작하네 ㅠ,절륜환관 312화,좋아요,댓글 달기
1892,토토로,22.12.08,가즈아아아ㅏㅏㅏ,절륜환관 307화,좋아요,댓글 달기
1893,토토로,22.12.08,군이라서 대포 쏴대면 끝나는거 아닌가? 상대가 되나..? 엥간한 경지 이하는 대포에 다 죽을꺼 같은데,절륜환관 303화,좋아요,댓글 달기
1894,안졸리나졸려5,22.12.08,"당신은 환관되기 위해 태어난 사람
지금도 그 사랑 받고 있지이요오오오오",절륜환관 180화,좋아요,댓글 달기
1895,토토로,22.12.07,가가 가가?,절륜환관 287화,좋아요,댓글 달기
1896,토토로,22.12.07,"뭐야 ㅋㅋㅋ 그럼 수천계는 거의 허상이고
명vs마교vs사도련이었음???",절륜환관 286화,좋아요,댓글 달기
1897,토토로,22.12.06,크~,절륜환관 252화,좋아요,댓글 달기
1898,토토로,22.12.06,캬 진짜 한결 같이 멋있네,절륜환관 242화,좋아요,댓글 달기
1899,토토로,22.12.06,신혼인데 어떡하누..,절륜환관 219화,좋아요,댓글 달기
1900,토토로,22.12.06,와우..,절륜환관 216화,좋아요,댓글 달기
1901,토토로,22.12.05,야...야야;;; 야 그러지마 이 자식아...,절륜환관 206화,좋아요,댓글 달기
1902,토토로,22.12.05,압승 : ㄹㅇ진땀패,절륜환관 205화,좋아요,댓글 달기
1903,토토로,22.12.05,키야아아아ㅏ~,절륜환관 203화,좋아요,댓글 달기
1904,토토로,22.12.05,???: 놔라! 나를 놔라 주형!!,절륜환관 202화,좋아요,댓글 달기
1905,토토로,22.12.05,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 나 갈꺼라고!!ㅋㅋㅋㅋㅋㅋ,절륜환관 200화,좋아요,댓글 달기
1906,토토로,22.12.05,캬~,절륜환관 196화,좋아요,댓글 달기
1907,토토로,22.12.05,절륜환관을 공식적으로 말해도 되는거야?ㅋㅋㅋㅋ,절륜환관 194화,좋아요,댓글 달기
1908,토토로,22.12.05,너무... 스킵 했잖아,절륜환관 190화,좋아요,댓글 달기
1909,토토로,22.12.05,환골탈태 가즈아아ㅏㅏㅏㅏㅏ,절륜환관 186화,좋아요,댓글 달기
1910,토토로,22.12.05,해야...겠지?,절륜환관 185화,좋아요,댓글 달기
1911,토토로,22.12.04,울컥하면서 수집되는 갈고리,절륜환관 149화,좋아요,댓글 달기
1912,토토로,22.12.04,아 뭔가 울컥하네,절륜환관 123화,좋아요,댓글 달기
1913,토토로,22.12.04,캬 이게 정치질인가...,절륜환관 95화,좋아요,댓글 달기
1914,토토로,22.12.03,아 멋있네 ㅋㅋ,절륜환관 67화,좋아요,댓글 달기
1915,lalala♡,22.11.27,지하절인데코찔찔에눈물이나농..아씽,절륜환관 78화,좋아요,댓글 달기
1916,lee,22.11.20,운기하는디 사람들이 너무 많어..,절륜환관 186화,좋아요,댓글 달기
1917,남승호,22.11.08,사랑해요 💜,절륜환관 1화,좋아요,댓글 달기
1918,누규게,22.10.18,흥미진진,절륜환관 389화,좋아요,댓글 달기
1919,누규게,22.10.18,도마군일줄알았다..,절륜환관 388화,좋아요,댓글 달기
1920,누규게,22.10.18,다 죽는구나 ㅜㅜ,절륜환관 387화,좋아요,댓글 달기
1921,누규게,22.10.18,왜 아군은 화탄 안쏘지? ㅜㅜ,절륜환관 386화,좋아요,댓글 달기
1922,누규게,22.10.18,도마군 모영이네,절륜환관 385화,좋아요,댓글 달기
1923,vvs,22.10.02,????,절륜환관 366화,좋아요,댓글 달기
1924,도봉,22.10.01,마의정신인데 송을 좇는다는게 좀 공감이 안되네요,절륜환관 309화,좋아요,댓글 달기
1925,누규게,22.09.28,오행마자 멸문 굳,절륜환관 384화,좋아요,댓글 달기
1926,누규게,22.09.26,흥미진진합니다~,절륜환관 383화,좋아요,댓글 달기
1927,누규게,22.09.21,잘읽고있습니다~,절륜환관 381화,좋아요,댓글 달기
1928,누규게,22.09.21,동방규화 👍,절륜환관 380화,좋아요,댓글 달기
1929,누규게,22.09.21,잘읽고있습니다~,절륜환관 379화,좋아요,댓글 달기
1930,누규게,22.09.21,잘읽고있습니다~,절륜환관 377화,좋아요,댓글 달기
1931,누규게,22.09.21,잘읽고있습니다~,절륜환관 376화,좋아요,댓글 달기
1932,누규게,22.09.21,잘읽고있습니다~,절륜환관 374화,좋아요,댓글 달기
1933,누규게,22.09.21,재밌어요,절륜환관 373화,좋아요,댓글 달기
1934,누규게,22.09.21,재밌어요,절륜환관 372화,좋아요,댓글 달기
1935,누규게,22.09.21,재밌어요,절륜환관 371화,좋아요,댓글 달기
1936,아파불,22.09.21,다음편은 언제 주실건가요?,절륜환관 382화,좋아요,댓글 달기
1937,아파불,22.09.19,다음은요? 언제~~,절륜환관 381화,좋아요,댓글 달기
1938,명아떠따짱,22.09.14,"고자회귀물이네
이젠",절륜환관 1화,좋아요,댓글 달기
1939,카비,22.09.08,엥 뭐지 사이다 나올 줄 알았는데,절륜환관 329화,좋아요,댓글 달기
1940,카비,22.09.08,새로운 난관이 하나씩 나와야지. 이전과는 다른 스타일이라 나쁘지 않은데. 장진명이 어떻게 극복할지도 궁금하고 ㅋㅋ 사이다 나왔으면~,절륜환관 328화,좋아요,댓글 달기
1941,카비,22.09.08,한참 흥미진진하구먼,절륜환관 326화,좋아요,댓글 달기
1942,카비,22.09.08,누가 이렇게 멀쩡한 글에 별점 테러를 하는 거지? 돈까지 써가면서 ㅋㅋ,절륜환관 326화,좋아요,댓글 달기
1943,카비,22.09.08,뭔 짓을 하려고? ㅋㅋ,절륜환관 325화,좋아요,댓글 달기
1944,카비,22.09.08,과연...~,절륜환관 322화,좋아요,댓글 달기
1945,비니,22.09.08,숨넘어가요 빨리 연재좀,절륜환관 378화,좋아요,댓글 달기
1946,빈체로,22.09.07,결제 준비 됐습니다. 풍성하지 못한 한가위일 지는 모르지만 작가님의 연참이라도 풍성했으면 합니다!,절륜환관 378화,좋아요,댓글 달기
1947,카비,22.09.07,오 독공인가,절륜환관 319화,좋아요,댓글 달기
1948,카비,22.09.06,ㅋㅋㅋㅋㅋㅋ,절륜환관 316화,좋아요,댓글 달기
1949,카비,22.09.06,오우야..,절륜환관 315화,좋아요,댓글 달기
1950,카비,22.09.06,뭐시래요,절륜환관 313화,좋아요,댓글 달기
1951,프리,22.09.06,이걸 모았다가 봐야하나… 너무 짧은데 ㅠ,절륜환관 377화,좋아요,댓글 달기
1952,카비,22.09.06,ㅎㅎㅎ,절륜환관 309화,좋아요,댓글 달기
1953,카비,22.09.06,어휴 진짜 전쟁이네? ㄷㄷ,절륜환관 308화,좋아요,댓글 달기
1954,카비,22.09.05,오메 제갈가 진짜 싹쓸이된 겨?,절륜환관 302화,좋아요,댓글 달기
1955,카비,22.09.04,와우 이유경 본격적이네 ㅋㅋ,절륜환관 298화,좋아요,댓글 달기
1956,카비,22.09.03,뭐시 또 있소 ㅋㅋ,절륜환관 295화,좋아요,댓글 달기
1957,카비,22.09.03,정주행하기엔 좋음. 영화 슬로우모션 연출 보는 것 같아서 ㅋㅋ,절륜환관 293화,좋아요,댓글 달기
1958,카비,22.09.02,띠용ㅋㅋㅋ,절륜환관 287화,좋아요,댓글 달기
1959,빈체로,22.09.02,작가님~이번 화는 조속한 후편 연재가 필수이옵니다. 통촉하시옵소서~,절륜환관 376화,좋아요,댓글 달기
1960,카비,22.08.31,귀신이 곡할 노릇이겠구먼ㅋㅋ,절륜환관 243화,좋아요,댓글 달기
1961,카비,22.08.29,호오,절륜환관 197화,좋아요,댓글 달기
1962,연록흔好,22.08.28,내가 진법을 부수고싶네그려,절륜환관 352화,좋아요,댓글 달기
1963,연록흔好,22.08.28,청하네 청하 내부조력자가!,절륜환관 349화,좋아요,댓글 달기
1964,연록흔好,22.08.28,아미타파ㅡ아미타불,절륜환관 348화,좋아요,댓글 달기
1965,연록흔好,22.08.28,우리에게는 두마리의 수달이 있다  가즈아ㅡㅡ,절륜환관 346화,좋아요,댓글 달기
1966,연록흔好,22.08.28,동물원 운영하나  이놈들은 애궂은  동물들만 죽게생겼네,절륜환관 345화,좋아요,댓글 달기
1967,연록흔好,22.08.28,돌아가서 식구들 데려왔냐 이것들아!,절륜환관 344화,좋아요,댓글 달기
1968,연록흔好,22.08.28,먼저오는놈 먼저 뒈진다,절륜환관 343화,좋아요,댓글 달기
1969,연록흔好,22.08.28,"앞전에는 제갈세가가 당하는게 고소하더니 이번에는  안탑깝소
작가양반의  의도대로..",절륜환관 342화,좋아요,댓글 달기
1970,연록흔好,22.08.28,"갠적으로 청하 술은 좋아하는데
요기청하는 눈에 거슬리는데ㅡㅡ",절륜환관 341화,좋아요,댓글 달기
1971,연록흔好,22.08.28,빨리가자 급하다,절륜환관 341화,좋아요,댓글 달기
1972,연록흔好,22.08.28,수달도 같이 가는겨?,절륜환관 340화,좋아요,댓글 달기
1973,연록흔好,22.08.28,,절륜환관 339화,좋아요,댓글 달기
1974,연록흔好,22.08.28,,절륜환관 338화,좋아요,댓글 달기
1975,연록흔好,22.08.28,곤륜멸망!,절륜환관 337화,좋아요,댓글 달기
1976,카비,22.08.27,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 에효 모지리들아 ㅜ,절륜환관 131화,좋아요,댓글 달기
